id,name,min_temp,max_temp,min_humidity,max_humidity
4123,M4123,22.1,25.0,49.5,81.9
4124,M4124,29.5,29.5,48.9,50.2
4125,M4125,22.7,27.2,74.9,99.1
5124,M5124,21.9,23.8,3.0,64.0
6814,M6814,26.1,30.0,18.6,95.1
6815,M6815,29.1,29.7,19.3,50.1
6816,M6816,28.5,28.7,0.7,7.4
6821,M6821,27.6,28.1,89.7,95.8
7235,M7235,29.2,29.7,96.4,99.0
7236,M7236,24.8,25.8,85.7,99.7
7238,M7238,23.2,25.4,33.2,92.7
8167,M8167,22.5,27.5,16.9,66.4
8170,M8170,16.3,27.3,16.8,43.0
8171,M8171,22.4,29.9,34.9,57.5
8541,M8541,29.9,29.9,27.4,91.2
8543,M8543,15.8,18.1,37.5,50.8
9847,M9847,21.7,26.5,50.8,90.0
9855,M9855,17.5,22.2,50.5,84.9
9875,M9875,28.9,29.8,37.2,37.8
9886,M9886,18.6,21.5,91.7,92.9
