OrderID;ItemID;Operation
1;1004;1 - Operation: cut bench leg - Machine: ws11 - Item: raw bench leg - Time: 21 - Quantity: 15.0
1;1004;2 - Operation: cut bench leg - Machine: ws12 - Item: wood pole 4cm - Time: 25 - Quantity: 4.2
1;1004;1 - Operation: cut bench leg - Machine: ws11 - Item: raw bench leg - Time: 21 - Quantity: 15.0
1;1004;2 - Operation: cut bench leg - Machine: ws12 - Item: wood pole 4cm - Time: 25 - Quantity: 4.2
1;1004;3 - Operation: polish bench leg - Machine: ws44 - Item: polished bench leg - Time: 76 - Quantity: 15.0
1;1004;4 - Operation: drill bench leg - Machine: ws21 - Item: bench leg  w/hole - Time: 36 - Quantity: 15.0
1;1004;5 - Operation: fix bolt M16 22 - Machine: ws31 - Item: bench leg w/bolt - Time: 50 - Quantity: 15.0
1;1004;6 - Operation: fix bolt M16 22 - Machine: ws31 - Item: threaded rod M16 - Time: 50 - Quantity: 15.0
1;1004;1 - Operation: cut bench seat - Machine: ws13 - Item: raw bench seat - Time: 25 - Quantity: 15.0
1;1004;2 - Operation: cut bench seat - Machine: ws13 - Item: wood 3cm - Time: 25 - Quantity: 0.86
1;1004;3 - Operation: polish bench seat - Machine: ws43 - Item: polished bench seat - Time: 81 - Quantity: 15.0
1;1004;4 - Operation: drill bench seat - Machine: ws22 - Item: bench seat w/holes - Time: 26 - Quantity: 15.0
1;1004;1 - Operation: cut bench seat - Machine: ws13 - Item: raw bench seat - Time: 25 - Quantity: 15.0
1;1004;2 - Operation: cut bench seat - Machine: ws13 - Item: wood 3cm - Time: 25 - Quantity: 0.86
1;1004;3 - Operation: polish bench seat - Machine: ws43 - Item: polished bench seat - Time: 81 - Quantity: 15.0
1;1004;4 - Operation: drill bench seat - Machine: ws22 - Item: bench seat w/holes - Time: 26 - Quantity: 15.0
1;1004;5 - Operation: fix nut M16 21 - Machine: ws32 - Item: bench seat w/nut - Time: 74 - Quantity: 15.0
1;1004;6 - Operation: fix nut M16 21 - Machine: ws32 - Item: nut M16 - Time: 74 - Quantity: 60.0
1;1004;7 - Operation: fix nut M16 21 - Machine: ws32 - Item: bolt M6 - Time: 74 - Quantity: 180.0
4;1006;1 - Operation: cut bench leg - Machine: ws11 - Item: raw bench leg - Time: 21 - Quantity: 8.0
4;1006;2 - Operation: cut bench leg - Machine: ws12 - Item: wood pole 4cm - Time: 25 - Quantity: 2.24
4;1006;3 - Operation: polish bench leg - Machine: ws44 - Item: polished bench leg - Time: 76 - Quantity: 8.0
4;1006;4 - Operation: drill bench leg - Machine: ws21 - Item: bench leg  w/hole - Time: 36 - Quantity: 8.0
4;1006;5 - Operation: fix bolt M16 22 - Machine: ws31 - Item: bench leg w/bolt - Time: 50 - Quantity: 8.0
4;1006;6 - Operation: fix bolt M16 22 - Machine: ws31 - Item: threaded rod M16 - Time: 50 - Quantity: 8.0
4;1006;7 - Operation: cut bench seat - Machine: ws13 - Item: raw bench seat - Time: 25 - Quantity: 8.0
4;1006;8 - Operation: cut bench seat - Machine: ws13 - Item: wood 3cm - Time: 25 - Quantity: 0.46
4;1006;9 - Operation: polish bench seat - Machine: ws43 - Item: polished bench seat - Time: 81 - Quantity: 8.0
4;1006;10 - Operation: drill bench seat - Machine: ws22 - Item: bench seat w/holes - Time: 26 - Quantity: 8.0
4;1006;11 - Operation: fix nut M16 21 - Machine: ws32 - Item: bench seat w/nut - Time: 74 - Quantity: 8.0
4;1006;12 - Operation: fix nut M16 21 - Machine: ws32 - Item: nut M16 - Time: 74 - Quantity: 32.0
4;1006;13 - Operation: fix nut M16 21 - Machine: ws32 - Item: bolt M6 - Time: 74 - Quantity: 96.0
